Date,Price,Open,High,Low,Volume,Chg%
2023-01-09,210.95,206.00,211.90,205.70,8.83K,3.00%
2023-01-06,204.80,204.40,205.20,201.80,6.02K,1.31%
2023-01-05,202.15,202.95,205.40,201.40,6.70K,-0.07%
2023-01-04,202.30,204.80,205.50,201.75,5.05K,-1.32%
2023-01-03,205.00,209.45,210.15,204.35,5.36K,-2.17%
2023-01-02,209.55,208.85,209.70,208.50,0.84K,-0.38%
2022-12-30,210.35,210.35,210.35,210.35,0.00K,1.35%
2022-12-29,207.55,207.00,209.00,207.00,0.01K,0.00%
2022-12-28,207.55,210.00,211.40,205.30,0.13K,-0.79%
2022-12-27,209.20,208.35,209.95,208.05,0.03K,1.19%
2022-12-26,206.75,206.35,207.50,205.90,0.50K,0.17%
2022-12-23,206.40,207.75,208.70,204.20,2.90K,-0.65%
2022-12-22,207.75,208.70,209.20,207.55,2.14K,-0.38%
2022-12-21,208.55,209.80,210.40,208.00,3.62K,-0.41%
2022-12-20,209.40,208.30,211.40,208.10,6.39K,0.34%
2022-12-19,208.70,210.20,210.35,207.65,4.24K,-0.52%
2022-12-16,209.80,211.15,211.70,209.05,5.93K,-0.14%
2022-12-15,210.10,213.10,213.30,209.85,6.69K,-1.29%
2022-12-14,212.85,213.65,213.65,211.55,4.04K,-0.02%
2022-12-13,212.90,211.25,214.20,210.80,5.74K,0.85%
2022-12-12,211.10,212.70,213.50,210.40,5.37K,-1.42%
2022-12-09,214.15,215.60,216.25,213.80,4.91K,-0.60%
2022-12-08,215.45,215.05,217.10,214.45,5.08K,0.16%
2022-12-07,215.10,215.40,215.85,213.55,6.20K,-0.12%
2022-12-06,215.35,215.55,216.80,213.65,7.18K,0.42%
2022-12-05,214.45,214.40,218.00,214.10,8.76K,0.16%
2022-12-02,214.10,211.10,216.50,209.15,10.41K,1.42%
2022-12-01,211.10,210.20,213.00,209.80,8.79K,0.43%
2022-11-30,210.20,208.00,211.50,208.00,0.01K,1.92%
2022-11-29,206.25,206.70,208.60,204.05,0.03K,0.76%
2022-11-28,204.70,204.60,205.00,203.55,0.07K,-0.53%
2022-11-25,205.80,205.85,206.50,204.50,0.09K,0.76%
2022-11-24,204.25,207.35,207.75,204.00,0.75K,-1.11%
2022-11-23,206.55,209.60,210.00,206.20,5.24K,-1.53%
2022-11-22,209.75,206.65,209.90,205.20,5.10K,1.67%
2022-11-21,206.30,208.60,208.60,204.40,5.40K,-1.36%
2022-11-18,209.15,207.65,210.00,206.25,6.53K,0.82%
2022-11-17,207.45,208.80,208.95,205.50,6.92K,-0.48%
2022-11-16,208.45,209.45,211.35,206.55,8.11K,-0.62%
2022-11-15,209.75,211.05,212.25,208.70,8.19K,-0.02%
2022-11-14,209.80,210.00,213.70,209.00,11.99K,-0.94%
2022-11-11,211.80,202.70,213.70,202.55,18.10K,5.03%
2022-11-10,201.65,204.60,204.60,199.20,11.58K,-0.02%
2022-11-09,201.70,206.80,208.20,201.50,12.55K,-2.02%
2022-11-08,205.85,203.50,207.15,202.80,6.01K,0.54%
2022-11-07,204.75,203.70,207.20,201.50,11.39K,-0.90%
2022-11-04,206.60,202.20,206.85,201.50,9.65K,2.86%
2022-11-03,200.85,200.75,201.35,197.75,6.77K,0.22%
2022-11-02,200.40,199.75,202.00,198.80,7.01K,0.50%
2022-11-01,199.40,198.05,200.75,197.80,7.67K,3.10%
2022-10-31,193.40,193.25,194.55,191.65,0.09K,-0.80%
2022-10-28,194.95,197.65,198.75,194.45,0.03K,-2.11%
2022-10-27,199.15,200.85,202.45,198.95,0.11K,-1.36%
2022-10-26,201.90,197.60,202.80,197.60,0.20K,3.19%
2022-10-25,195.65,194.80,197.35,191.65,1.50K,0.64%
2022-10-24,194.40,196.20,196.60,194.15,0.21K,-1.27%
2022-10-21,196.90,198.05,198.60,194.15,6.53K,-0.43%
2022-10-20,197.75,196.80,199.80,196.40,6.36K,0.79%
2022-10-19,196.20,195.60,196.80,193.00,6.73K,0.80%
2022-10-18,194.65,199.50,200.75,194.25,8.81K,-2.48%
2022-10-17,199.60,203.95,203.95,197.50,8.77K,-1.77%
2022-10-14,203.20,208.95,212.00,202.70,13.53K,-2.52%
2022-10-13,208.45,205.00,212.00,202.45,14.24K,0.36%
2022-10-12,207.70,198.45,211.30,196.30,12.90K,4.19%
2022-10-11,199.35,201.00,201.00,195.65,7.57K,-0.77%
2022-10-10,200.90,202.35,204.70,200.60,7.57K,-1.78%
2022-10-07,204.55,208.40,208.95,204.00,7.28K,-0.90%
2022-10-06,206.40,207.40,211.40,205.00,10.43K,-0.12%
2022-10-05,206.65,204.20,206.95,200.80,6.11K,0.80%
2022-10-04,205.00,197.30,205.60,197.20,10.32K,4.27%
2022-10-03,196.60,194.80,197.00,190.50,8.36K,0.79%
2022-09-30,195.05,195.50,195.60,194.50,0.01K,1.62%
2022-09-29,191.95,188.75,194.50,188.75,0.01K,2.59%
2022-09-28,187.10,187.40,188.60,186.50,0.01K,-0.95%
2022-09-27,188.90,188.65,191.45,188.35,0.06K,0.29%
2022-09-26,188.35,193.00,193.40,186.70,1.38K,-1.82%
2022-09-23,191.85,196.40,197.10,191.00,3.79K,-2.59%
2022-09-22,196.95,194.50,197.75,194.05,5.04K,1.76%
2022-09-21,193.55,196.85,197.20,192.90,5.32K,-1.50%
2022-09-20,196.50,197.30,197.90,195.60,3.87K,-0.03%
2022-09-19,196.55,199.00,199.00,196.10,3.45K,-1.28%
2022-09-16,199.10,200.25,200.75,196.85,5.75K,-1.24%
2022-09-15,201.60,199.50,201.90,198.80,5.96K,1.56%
2022-09-14,198.50,201.00,201.65,196.30,6.48K,-1.27%
2022-09-13,201.05,200.70,202.65,199.40,6.38K,0.55%
2022-09-12,199.95,200.00,202.30,199.20,4.53K,-0.15%
2022-09-09,200.25,202.95,203.80,198.55,6.27K,0.07%
2022-09-08,200.10,198.55,200.30,198.40,4.30K,1.37%
2022-09-07,197.40,199.00,199.35,197.10,3.72K,-1.00%
2022-09-06,199.40,202.65,203.40,199.20,4.15K,-1.46%
2022-09-05,202.35,202.65,204.30,202.10,2.95K,-0.34%
2022-09-02,203.05,205.00,205.00,202.55,4.51K,-0.10%
2022-09-01,203.25,205.90,205.90,202.00,4.71K,-1.45%
2022-08-31,206.25,208.25,208.25,204.80,2.42K,-1.65%
2022-08-30,209.70,212.00,212.00,209.25,0.01K,-2.47%
2022-08-29,215.00,213.35,215.75,211.40,0.02K,0.40%
2022-08-26,214.15,210.65,215.10,210.65,0.03K,1.78%
2022-08-25,210.40,210.70,210.95,209.35,0.11K,0.43%
2022-08-24,209.50,210.70,211.25,204.05,0.93K,-0.50%
2022-08-23,210.55,210.10,211.20,209.65,4.25K,0.36%
2022-08-22,209.80,210.00,210.40,208.80,2.78K,-0.07%
2022-08-19,209.95,211.15,211.15,209.05,4.45K,-0.40%
2022-08-18,210.80,210.55,211.75,208.80,4.99K,0.07%
2022-08-17,210.65,209.80,211.95,209.40,6.72K,0.69%
2022-08-16,209.20,211.05,213.25,208.15,7.85K,-1.51%
2022-08-12,212.40,217.75,219.60,211.55,9.08K,-2.64%
2022-08-11,218.15,215.05,218.70,215.05,6.13K,1.32%
2022-08-10,215.30,214.85,215.90,212.20,7.86K,0.21%
2022-08-09,214.85,213.40,217.50,213.40,5.87K,0.87%
2022-08-08,213.00,211.00,213.40,210.75,3.96K,0.69%
2022-08-05,211.55,210.00,212.70,209.55,6.69K,1.00%
2022-08-04,209.45,208.15,209.85,207.00,6.21K,0.82%
2022-08-03,207.75,209.25,210.20,207.20,5.24K,-0.34%
2022-08-02,208.45,210.20,210.75,208.20,5.99K,-1.21%
2022-08-01,211.00,214.20,214.20,209.00,7.86K,-0.52%
2022-07-29,212.10,211.00,212.35,211.00,0.05K,0.57%
2022-07-28,210.90,209.40,213.45,209.40,0.06K,1.18%
2022-07-27,208.45,209.00,209.75,207.00,0.08K,0.24%
2022-07-26,207.95,209.35,209.50,207.40,0.13K,0.51%
2022-07-25,206.90,209.60,210.05,206.65,0.97K,-2.15%
2022-07-22,211.45,209.55,213.20,209.55,3.47K,0.45%
2022-07-21,210.50,209.45,211.00,207.65,5.83K,0.50%
2022-07-20,209.45,208.80,212.20,208.50,6.51K,0.89%
2022-07-19,207.60,209.25,210.80,207.30,5.88K,-1.35%
2022-07-18,210.45,205.95,212.45,205.45,7.85K,2.81%
2022-07-15,204.70,204.15,206.00,202.25,6.32K,0.27%
2022-07-14,204.15,206.50,207.00,203.60,5.72K,-0.99%
2022-07-13,206.20,205.10,207.65,204.45,7.52K,0.24%
2022-07-12,205.70,207.35,208.15,205.00,7.01K,-0.60%
2022-07-11,206.95,209.60,211.30,206.60,6.24K,-2.11%
2022-07-08,211.40,210.50,212.10,207.75,7.94K,-0.02%
2022-07-07,211.45,208.70,214.20,206.10,10.53K,1.63%
2022-07-06,208.05,204.00,209.25,204.00,7.32K,0.82%
2022-07-05,206.35,210.35,210.85,205.80,7.76K,-2.60%
2022-07-04,211.85,211.35,214.85,209.95,5.72K,0.26%
2022-07-01,211.30,208.60,211.55,205.00,6.77K,0.38%
2022-06-30,210.50,210.95,211.80,210.25,0.01K,-0.71%
2022-06-29,212.00,212.00,212.00,212.00,0.00K,-1.19%
2022-06-28,214.55,213.00,215.50,213.00,0.01K,1.35%
2022-06-27,211.70,208.40,213.00,208.00,0.05K,1.73%
2022-06-24,208.10,209.90,210.25,205.10,0.66K,-0.38%
2022-06-23,208.90,215.00,216.40,208.45,4.11K,-3.78%
2022-06-22,217.10,215.00,217.65,213.30,4.42K,0.23%
2022-06-21,216.60,217.30,218.45,215.15,4.50K,0.44%
2022-06-20,215.65,215.00,216.75,212.60,4.27K,0.14%
2022-06-17,215.35,214.50,216.90,212.90,6.62K,-0.21%
2022-06-16,215.80,223.00,224.00,211.95,8.36K,-2.92%
2022-06-15,222.30,219.10,222.80,217.70,6.03K,2.23%
2022-06-14,217.45,223.80,224.30,217.10,5.98K,-2.86%
2022-06-13,223.85,227.60,227.60,220.60,5.36K,-1.88%
2022-06-10,228.15,232.50,233.00,226.60,5.88K,-2.14%
2022-06-09,233.15,238.40,239.85,232.70,5.93K,-2.20%
2022-06-08,238.40,234.95,239.40,234.00,5.87K,1.40%
2022-06-07,235.10,237.10,237.20,232.55,4.66K,-0.82%
2022-06-06,237.05,234.90,237.80,232.30,5.47K,1.80%
2022-06-03,232.85,235.00,235.00,231.15,2.42K,-0.51%
2022-06-02,234.05,231.00,235.15,231.00,3.40K,1.21%
2022-06-01,231.25,235.70,237.40,230.20,6.04K,-5.15%
2022-05-31,243.80,243.80,244.00,243.75,0.05K,0.06%
2022-05-30,243.65,243.00,244.55,243.00,0.01K,0.99%
2022-05-27,241.25,242.80,242.80,241.00,0.02K,0.44%
2022-05-26,240.20,240.85,241.30,239.05,0.10K,-0.08%
2022-05-25,240.40,241.25,241.50,236.45,0.67K,-0.29%
2022-05-24,241.10,247.00,247.00,240.35,2.25K,-2.51%
2022-05-23,247.30,248.30,250.30,245.90,4.75K,-0.44%
2022-05-20,248.40,245.25,250.05,243.75,5.47K,1.51%
2022-05-19,244.70,239.20,245.25,238.15,5.55K,2.71%
2022-05-18,238.25,240.80,244.25,237.70,4.75K,-0.85%
2022-05-17,240.30,237.85,240.90,236.10,3.95K,1.22%
2022-05-16,237.40,236.50,238.40,235.25,3.00K,0.44%
2022-05-13,236.35,232.55,236.70,230.10,4.55K,1.74%
2022-05-12,232.30,231.90,233.30,228.20,3.93K,-0.11%
2022-05-11,232.55,232.65,234.90,232.00,4.15K,0.24%
2022-05-10,232.00,234.25,235.10,229.25,6.06K,-0.66%
2022-05-09,233.55,240.15,240.20,233.10,4.73K,-2.61%
2022-05-06,239.80,243.45,244.00,238.25,4.40K,-1.70%
2022-05-05,243.95,249.65,250.65,240.90,4.69K,-1.21%
2022-05-04,246.95,243.15,248.40,240.70,4.37K,1.40%
2022-05-03,243.55,246.10,248.00,241.00,2.22K,-0.77%
2022-05-02,245.45,251.10,252.25,237.75,2.26K,-2.58%
2022-04-29,251.95,251.10,254.80,250.70,0.07K,-1.96%
2022-04-28,257.00,255.75,258.00,255.75,0.09K,0.35%
2022-04-27,256.10,253.65,257.60,253.60,0.06K,0.77%
2022-04-26,254.15,258.40,259.05,254.00,0.16K,-0.29%
2022-04-25,254.90,268.00,268.00,254.15,1.19K,-5.71%
2022-04-22,270.35,270.40,272.05,267.10,2.31K,-0.42%
2022-04-21,271.50,269.55,272.50,268.15,2.36K,0.82%
2022-04-20,269.30,269.00,270.40,266.45,2.70K,-0.04%
2022-04-19,269.40,272.85,276.35,268.30,3.70K,-0.79%
2022-04-18,271.55,270.15,273.00,268.30,1.46K,0.28%
2022-04-14,270.80,270.00,271.75,267.50,1.70K,0.89%
2022-04-13,268.40,270.00,271.75,266.00,3.29K,-0.41%
2022-04-12,269.50,269.00,270.00,266.50,3.92K,0.67%
2022-04-11,267.70,273.30,275.00,265.10,4.48K,-3.25%
2022-04-08,276.70,275.85,280.55,275.55,2.44K,0.02%
2022-04-07,276.65,281.30,281.60,273.45,3.18K,-1.51%
2022-04-06,280.90,279.00,285.45,279.00,2.39K,0.36%
2022-04-05,279.90,278.10,283.80,278.05,2.54K,1.36%
2022-04-04,276.15,281.40,282.95,275.00,2.34K,-1.59%
2022-04-01,280.60,281.95,285.45,279.55,2.72K,-0.53%
2022-03-31,282.10,286.00,286.00,281.00,0.06K,-0.72%
2022-03-30,284.15,281.90,286.00,281.60,0.01K,2.03%
2022-03-29,278.50,288.00,292.75,276.20,0.06K,-3.06%
2022-03-28,287.30,289.00,290.00,284.90,0.20K,-0.02%
2022-03-25,287.35,285.20,288.90,282.10,0.83K,1.18%
2022-03-24,284.00,296.20,301.40,283.50,2.74K,-4.18%
2022-03-23,296.40,280.40,297.05,278.45,3.41K,5.76%
2022-03-22,280.25,282.00,284.40,277.40,3.58K,-0.11%
2022-03-21,280.55,273.00,283.60,273.00,2.91K,3.07%
2022-03-18,272.20,275.90,275.90,270.90,1.68K,0.39%
2022-03-17,271.15,267.30,272.60,263.90,4.05K,2.57%
2022-03-16,264.35,267.30,271.15,262.60,3.83K,-0.75%
2022-03-15,266.35,270.50,270.50,262.15,3.02K,-1.84%
2022-03-14,271.35,281.30,281.85,268.90,3.86K,-4.00%
2022-03-11,282.65,283.80,285.35,276.25,4.05K,1.04%
2022-03-10,279.75,269.50,287.85,268.75,5.84K,4.70%
2022-03-09,267.20,282.00,285.80,264.10,5.79K,-4.54%
2022-03-08,279.90,302.70,311.30,276.00,9.40K,-6.99%
2022-03-07,300.95,314.00,325.40,290.10,12.34K,-2.40%
2022-03-04,308.35,304.70,311.65,304.70,11.95K,1.72%
2022-03-03,303.15,291.80,304.60,291.80,15.53K,5.13%
2022-03-02,288.35,281.60,290.80,280.85,10.90K,2.27%
2022-03-01,281.95,277.15,283.25,277.00,6.50K,2.10%
2022-02-28,276.15,279.70,279.70,275.00,0.02K,2.68%
2022-02-25,268.95,271.70,271.70,265.95,0.01K,-2.18%
2022-02-24,274.95,268.90,277.80,268.75,0.06K,3.70%
2022-02-23,265.15,266.15,266.85,262.30,0.20K,-0.34%
2022-02-22,266.05,267.20,271.05,264.95,1.23K,0.59%
2022-02-21,264.50,260.55,265.00,258.25,3.19K,1.59%
2022-02-18,260.35,260.75,261.60,259.30,3.75K,-0.46%
2022-02-17,261.55,258.15,262.05,258.15,5.37K,0.81%
2022-02-16,259.45,257.10,260.50,256.55,4.22K,0.95%
2022-02-15,257.00,259.10,259.55,255.20,6.27K,-0.81%
2022-02-14,259.10,257.40,260.15,254.45,7.04K,1.91%
2022-02-11,254.25,259.00,259.00,250.80,9.00K,-2.34%
2022-02-10,260.35,261.00,265.90,259.40,8.52K,-0.08%
2022-02-09,260.55,257.00,260.80,252.60,7.48K,2.46%
2022-02-08,254.30,250.85,257.00,250.85,6.50K,1.66%
2022-02-07,250.15,247.00,250.70,247.00,5.28K,1.60%
2022-02-04,246.20,243.35,246.50,243.35,3.50K,1.25%
2022-02-03,243.15,241.15,243.80,240.30,4.58K,1.14%
2022-02-02,240.40,243.35,245.20,238.30,5.07K,-1.17%
2022-02-01,243.25,241.55,244.90,241.30,3.40K,-0.02%
2022-01-31,243.30,244.05,244.05,243.00,0.10K,0.00%
2022-01-28,243.30,246.80,248.45,243.10,0.21K,-1.44%
2022-01-27,246.85,245.05,247.25,244.80,0.10K,0.88%
2022-01-25,244.70,240.40,245.60,240.40,0.08K,1.89%
2022-01-24,240.15,237.50,240.70,236.15,1.33K,0.44%
2022-01-21,239.10,244.80,244.80,238.50,4.13K,-2.71%
2022-01-20,245.75,239.90,246.10,239.55,5.04K,2.01%
2022-01-19,240.90,239.50,241.10,238.70,5.06K,0.84%
2022-01-18,238.90,236.70,240.40,236.50,4.64K,1.10%
2022-01-17,236.30,234.80,237.20,234.10,4.15K,0.53%
2022-01-14,235.05,232.30,235.40,232.30,5.07K,0.86%
2022-01-13,233.05,233.80,236.90,232.10,3.61K,0.04%
2022-01-12,232.95,232.75,237.50,232.75,5.54K,-0.51%
2022-01-11,234.15,232.85,234.45,231.05,4.20K,0.84%
2022-01-10,232.20,231.95,234.00,231.35,3.91K,0.61%
2022-01-07,230.80,232.45,235.50,230.30,6.11K,-0.45%
2022-01-06,231.85,231.40,232.45,229.00,5.23K,0.43%
2022-01-05,230.85,225.50,232.65,225.45,6.94K,2.08%
2022-01-04,226.15,224.80,227.30,223.50,4.18K,0.40%
2022-01-03,225.25,225.10,226.65,224.80,1.83K,0.83%
2021-12-31,223.40,223.25,224.85,223.25,0.03K,-0.53%
2021-12-30,224.60,226.10,226.30,224.50,0.02K,-0.69%
2021-12-29,226.15,225.00,227.00,223.15,0.17K,-0.46%
2021-12-28,227.20,227.95,228.55,227.00,0.05K,-0.18%
2021-12-27,227.60,226.70,227.70,225.55,0.30K,0.31%
2021-12-24,226.90,226.15,228.75,224.80,2.24K,0.42%
2021-12-23,225.95,224.95,226.90,223.50,3.07K,0.42%
2021-12-22,225.00,222.05,226.55,221.80,4.05K,1.12%
2021-12-21,222.50,216.55,222.75,216.45,3.46K,2.94%
2021-12-20,216.15,220.20,220.25,216.00,3.33K,-2.00%
2021-12-17,220.55,220.95,221.25,219.20,4.52K,0.34%
2021-12-16,219.80,215.90,221.45,215.90,5.90K,2.04%
2021-12-15,215.40,215.35,215.85,212.75,3.60K,-0.09%
2021-12-14,215.60,216.45,217.55,215.35,3.25K,-0.44%
2021-12-13,216.55,214.05,216.90,213.75,3.26K,1.57%
2021-12-10,213.20,215.00,215.30,213.00,3.08K,-0.58%
2021-12-09,214.45,213.10,215.00,212.10,5.39K,0.59%
2021-12-08,213.20,212.65,213.70,211.55,3.35K,0.38%
2021-12-07,212.40,210.40,213.15,209.70,3.96K,0.95%
2021-12-06,210.40,210.10,211.45,208.90,3.50K,-0.50%
2021-12-03,211.45,210.25,213.35,210.25,4.77K,0.76%
2021-12-02,209.85,212.90,213.20,208.60,4.49K,-1.25%
2021-12-01,212.50,211.65,214.00,209.50,4.99K,1.09%
2021-11-30,210.20,212.30,213.05,209.50,0.02K,-0.40%
2021-11-29,211.05,209.50,211.50,209.50,0.03K,1.13%
2021-11-26,208.70,213.45,213.80,207.20,0.08K,-2.93%
2021-11-25,215.00,214.35,216.75,213.95,0.04K,0.84%
2021-11-24,213.20,210.75,213.95,210.60,0.91K,0.92%
2021-11-23,211.25,212.25,213.50,210.35,3.02K,-0.52%
2021-11-22,212.35,210.80,213.60,208.40,4.24K,0.14%
2021-11-19,212.05,209.00,212.40,209.00,3.19K,2.32%
2021-11-18,207.25,205.90,207.80,203.90,4.51K,0.00%
2021-11-17,207.25,205.15,208.20,203.65,5.16K,1.22%
2021-11-16,204.75,211.00,211.50,204.10,5.74K,-2.52%
2021-11-15,210.05,212.50,214.40,209.65,5.14K,-1.89%
2021-11-12,214.10,211.70,215.45,211.05,4.86K,1.09%
2021-11-11,211.80,208.60,213.00,207.70,5.18K,2.82%
2021-11-10,206.00,204.55,208.80,204.00,5.12K,0.29%
2021-11-09,205.40,206.45,208.90,203.55,4.82K,-1.04%
2021-11-08,207.55,204.65,208.25,201.95,4.78K,1.44%
2021-11-05,204.60,208.00,208.00,201.50,3.87K,-2.32%
2021-11-04,209.45,214.60,214.60,207.60,1.20K,-2.03%
2021-11-03,213.80,217.50,220.20,213.20,4.38K,-1.27%
2021-11-02,216.55,218.60,220.50,215.75,4.81K,-1.61%
2021-11-01,220.10,222.55,224.25,218.90,4.21K,1.48%
2021-10-29,216.90,218.60,218.60,214.50,0.01K,-0.30%
2021-10-28,217.55,214.95,218.00,213.30,0.04K,0.25%
2021-10-27,217.00,223.30,223.45,214.70,0.04K,-5.30%
2021-10-26,229.15,230.00,230.30,226.55,0.02K,-0.69%
2021-10-25,230.75,232.30,235.75,228.10,0.96K,0.02%
2021-10-22,230.70,232.90,237.85,228.70,4.91K,-0.92%
2021-10-21,232.85,248.95,250.65,232.00,7.31K,-5.94%
2021-10-20,247.55,248.00,248.00,242.60,6.25K,-0.58%
2021-10-19,249.00,253.90,257.60,248.65,5.17K,-2.49%
2021-10-18,255.35,254.00,259.35,254.00,5.64K,0.43%
2021-10-15,254.25,250.90,257.80,250.20,4.65K,1.62%
2021-10-14,250.20,247.00,253.80,247.00,6.26K,1.73%
2021-10-13,245.95,244.90,248.75,244.45,6.29K,0.43%
2021-10-12,244.90,241.00,247.30,241.00,5.18K,0.84%
2021-10-11,242.85,237.70,245.60,237.55,5.35K,1.97%
2021-10-08,238.15,236.90,239.90,235.30,5.39K,0.44%
2021-10-07,237.10,233.30,238.30,233.30,3.60K,1.69%
2021-10-06,233.15,232.70,234.35,232.10,3.47K,-0.15%
2021-10-05,233.50,232.85,233.90,231.70,2.86K,0.15%
2021-10-04,233.15,229.00,233.50,228.50,3.44K,2.24%
2021-10-01,228.05,227.30,230.00,226.05,3.45K,-0.87%
2021-09-30,230.05,232.70,232.70,230.00,0.04K,-1.27%
2021-09-29,233.00,233.50,234.60,232.00,0.01K,0.15%
2021-09-28,232.65,230.90,234.60,228.45,0.12K,0.76%
2021-09-27,230.90,233.25,235.70,229.50,0.19K,-0.77%
2021-09-24,232.70,233.00,234.60,231.50,0.90K,-1.29%
2021-09-23,235.75,233.80,236.30,232.00,3.53K,1.42%
2021-09-22,232.45,231.60,233.60,230.20,5.24K,1.71%
2021-09-21,228.55,226.65,230.10,225.60,4.20K,0.82%
2021-09-20,226.70,227.00,227.40,224.30,4.04K,-0.29%
2021-09-17,227.35,228.20,230.80,226.95,4.46K,-0.42%
2021-09-16,228.30,229.00,229.20,225.30,5.05K,-0.33%
2021-09-15,229.05,227.00,230.85,226.30,5.19K,1.60%
2021-09-14,225.45,228.35,229.20,225.00,6.31K,-1.59%
2021-09-13,229.10,234.15,235.30,225.30,7.08K,-0.80%
2021-09-10,230.95,226.80,231.10,226.80,3.82K,3.01%
2021-09-09,224.20,223.90,225.40,222.80,4.21K,1.13%
2021-09-08,221.70,219.00,222.20,219.00,3.79K,1.67%
2021-09-07,218.05,218.10,218.90,217.10,3.10K,0.00%
2021-09-06,218.05,215.00,218.45,215.00,3.57K,1.61%
2021-09-03,214.60,212.70,214.95,211.80,3.75K,1.04%
2021-09-02,212.40,211.85,214.75,211.65,3.51K,0.43%
2021-09-01,211.50,211.50,213.40,210.10,3.29K,-0.61%
2021-08-31,212.80,213.75,213.75,212.20,0.01K,-0.23%
2021-08-30,213.30,214.40,214.40,212.55,0.04K,-0.49%
2021-08-27,214.35,214.45,215.20,212.50,0.08K,0.42%
2021-08-26,213.45,210.55,214.80,210.55,0.13K,0.61%
2021-08-25,212.15,210.30,213.35,210.30,0.33K,1.17%
2021-08-24,209.70,207.40,210.50,207.40,2.47K,0.94%
2021-08-23,207.75,207.30,208.15,206.30,2.24K,0.95%
2021-08-20,205.80,206.15,207.05,205.00,1.96K,0.51%
2021-08-19,204.75,205.50,206.00,204.10,2.00K,-1.18%
2021-08-18,207.20,208.70,209.25,205.85,3.11K,-0.12%
2021-08-17,207.45,208.50,210.50,207.25,3.50K,-0.34%
2021-08-16,208.15,207.85,208.35,206.65,2.79K,0.00%
2021-08-13,208.15,207.40,208.80,207.00,2.70K,0.58%
2021-08-12,206.95,207.70,209.05,206.40,2.99K,-0.46%
2021-08-11,207.90,207.35,208.50,207.00,2.37K,0.36%
2021-08-10,207.15,205.20,207.55,205.20,2.96K,1.05%
2021-08-09,205.00,207.10,207.80,202.90,3.34K,-0.41%
2021-08-06,205.85,206.50,208.15,205.25,3.67K,0.02%
2021-08-05,205.80,205.20,206.15,204.65,2.33K,0.73%
2021-08-04,204.30,206.70,206.75,204.15,3.15K,45.56%
